,col_name,list,stem
0,column,Row_ID,row_id
1,column,Order_ID,order_id
2,column,Order_Date,order_d
3,column,Ship_Date,ship_dat
4,column,Ship_Mode,ship_mod
5,column,Customer_ID,customer_id
6,column,Customer_Name,customer_nam
7,column,Segment,segment
8,column,Country,countri
9,column,City,citi
10,column,State,state
11,column,Postal_Code,postal_cod
12,column,Region,region
13,column,Product_ID,product_id
14,column,Category,categori
15,column,Sub-Category,sub-categori
16,column,Product_Name,product_nam
17,column,Sales,sale
18,column,Quantity,quantiti
19,column,Discount,discount
20,column,Profit,profit
0,Ship_Mode,Standard Class,standard class
1,Ship_Mode,Second Class,second class
2,Ship_Mode,First Class,first class
3,Ship_Mode,Same Day,same day
0,Customer_Name,Darren Powers,darren power
1,Customer_Name,Phillina Ober,phillina ober
2,Customer_Name,Mick Brown,mick brown
3,Customer_Name,Lycoris Saunders,lycori saunder
4,Customer_Name,Jack O'Briant,jack o'briant
5,Customer_Name,Maria Etezadi,maria etezadi
6,Customer_Name,Vivek Sundaresam,vivek sundaresam
7,Customer_Name,Melanie Seite,melani seit
8,Customer_Name,Anthony Jacobs,anthoni jacob
9,Customer_Name,Seth Vernon,seth vernon
10,Customer_Name,Chris Selesnick,chri selesnick
11,Customer_Name,Natalie DeCherney,natali decherney
12,Customer_Name,Brian Dahlen,brian dahlen
13,Customer_Name,Michael Moore,michael moor
14,Customer_Name,Brendan Sweed,brendan sweed
15,Customer_Name,Erica Hackney,erica hackney
16,Customer_Name,Delfina Latchford,delfina latchford
17,Customer_Name,David Wiener,david wiener
18,Customer_Name,Toby Swindell,tobi swindel
19,Customer_Name,Hunter Lopez,hunter lopez
20,Customer_Name,Mark Van Huff,mark van huff
21,Customer_Name,Xylona Preis,xylona prei
22,Customer_Name,Muhammed MacIntyre,muham macintyr
23,Customer_Name,Tom Boeckenhauer,tom boeckenhau
24,Customer_Name,Ionia McGrath,ionia mcgrath
25,Customer_Name,Speros Goranitis,spero goran
26,Customer_Name,Shirley Daniels,shirley daniel
